建案編號,建案名稱,縣市	行政區,Unnamed: 3,地址,總戶數,樓層,產品類型,使用分區/用途,門牌號,格局,其他用途名稱,成交時間,基地面積,建蔽率,容積率,車位配比,停車規劃,充電樁,管理費,結構工程,土地分區,標籤,朝向規劃,建案介紹,公共設施,備註,交通,周邊環境
5952894,藝樹家,,,新北市林口區忠孝路文化北路一段,112,"地上14層,地下2層",,住宅大樓,,,住商用,,918坪,,32.8%,1:0.83,,,無管理費,RC造,,,,,"['接待大廳', '中庭花園', '閱覽室', '健身房', '信箱區', '曬被區']",,"路程5-10分鐘公園.影城路程10-15分鐘購物商城一次滿足車程五分鐘捷運,交流道交通便利!",
42924,墅向陽,,,新北市林口區竹林路282號,3,"地上3層,地下1層",,別墅,,四房(96.64~117.88坪),住家用,,178坪,38.13%,,,,,無管理費,RC造,住宅區,,朝西北,"廚房：櫻花廚具
衛浴：德瑞克
地磚：三洋
Bean中央集塵",['無公設'],,A9林口站,
26018,人文觀點,,,新北市林口區民權路22號,22,地上11層,,住宅大樓,,"二房(39.06坪),三房(39.06~58.86坪),四房(46.41~46.42坪)",住家用,,0,40.55%,,,,,1550元/戶/月,RC造,住宅區,,朝西北,,,,,
11445,舞墨,,,新北市林口區文化三路二段115巷81號,12,"地上10層,地下2層",,華廈,,四房(74.98~99.29坪),住商用,,156坪,49.92%,30.57%,1:1.5,,,無管理費,RC造,住宅區,,朝東南,,,,,
11474,京澄謙隱,,,新北市林口區文明街183號,14,地上7層,,住宅大樓,,三房(56.8~74.2坪),見其他登記事項,,0,39.84%,25.75%,,,,2180元/戶/月,RC造,住宅區,,朝東北、朝西北,,,,,
26381,家悅禮悅,,,新北市林口區南勢四街216巷20號,16,"地上9層,地下2層",,華廈,,三房(46.48~72.11坪),見其他登記事項,,237坪,38.77%,29.55%,,,,無管理費,RC造,第二種住宅區,,朝西、朝西南、朝西北,,,,,
26085,樁之林二期,,,新北市林口區南勢六街57號,10,地上4層,,透天,,四房(90.93坪),見其他登記事項,,406坪,47.00%,,,,,24000元/戶/月,RC造、其他,住宅區,,朝東北,,,,,
28936,登皇名門,,,新北市林口區公園路125號,60,地上10層,,華廈,,"二房(27.76坪),三房(37.9~60.65坪),四房(46.52~61.52坪)",住家用,,0,59.67%,23~23.29%,,,,2612元/戶/月,RC造,住宅區,,朝西南,,['中庭花園'],,,
26195,森釀別墅,,,新北市林口區麗園二街60巷56號,20,地上3層,,透天,,"三房(104.42~118.29坪),四房(150.46坪),五房(120.42~150.46坪)",見其他登記事項,,"1,009坪",39.91%,9~10%,,,,無管理費,RC造、其他,住宅區,,朝西北,,['無公設'],,,
26281,薇閣雲川,,,新北市林口區東明一街1巷29號,3,"地上3層,地下1層",,透天,,五房(88.47坪),住家用,,151坪,38.1%,,1:1,,,無管理費,RC造、其他,第一種住宅區,,朝西北、朝西南,,['無公設'],,,
29037,雙橡園七期,,,新北市林口區文化一路一段135巷3號,32,地上7層,,華廈,,"二房(24.38~33.15坪),三房(28.84~34.01坪)",住家用,,0,44.20%,28~29%,,,,500元/戶/月,RC造,住宅區,,朝西南,,['無公設'],,,
100072,元邦一景苑,,,新北市林口區興林一街93號,11,"地上3層,地下1層",,透天,,"三房(118.42坪),四房(122.92~129.58坪),五房(110.43~131.65坪)",住家用,,634坪,40%,,1:3.82,,,無管理費,,第一種住宅區,,,,,,林口區仁愛路一段轉興林路,
3670816,天悅-A區,,,新北市林口區新北市林口區,6,,,住宅大樓,,,其他,,319坪,,,,,,無管理費,,,,,,,,,
6015807,易捷聿白,,,新北市林口區惠民街30巷25號旁,24,"地上7層,地下1層",預售屋,華廈,,"一房(15坪),二房(18坪)",住家用,,157坪,42.22%,35.9~35.9%,1:0.42,,,無管理費,RC造,第二種住宅區,,朝西南,"廚具:Noblesse櫃體、林內三機，衛浴:Panasonic馬桶，五金:Hansgrohe，其他:鋁窗YKK氣密窗、德國太格木地板
建築立面:張嘉勲建築師事務","['接待大廳', '曬被區']",,A9林口站,
26135,珍隱,,,新北市林口區民權路82號,46,地上11層,,住宅大樓,,"二房(21.55坪),三房(46.57~55.7坪),四房(55.7~79.51坪)",住家用,,0,49.00%,27~27.27%,,,,無管理費,RC造,住宅區,,朝西北、朝北,,"['接待大廳', '中庭花園', '交誼廳', '閱覽室', '健身房']",,,
26152,真藏館,,,新北市林口區文化三路一段450號,30,地上15層,,住宅大樓,,"三房(77.41~95.56坪),四房(77.41~95.56坪)",見其他登記事項,,0,69.98%,32~33%,,,,無管理費,RC造,商業區,,朝西北,,"['接待大廳', '健身房']",,,
