建案編號,建案名稱,縣市	行政區,Unnamed: 3,地址,總戶數,樓層,產品類型,使用分區/用途,門牌號,格局,其他用途名稱,成交時間,基地面積,建蔽率,容積率,車位配比,停車規劃,充電樁,管理費,結構工程,土地分區,標籤,朝向規劃,建案介紹,公共設施,備註,交通,周邊環境
5933871,頤昌柏舍,,,新北市林口區中山路&文林三街,80,"地上14層,地下2層",預售屋,住宅大樓,,"二房(23~24坪),三房(35~45坪)",住商用,,708坪,30.79%,30.2%,1:0.95,,,95元/坪/月,RC造,第二種住宅區,,朝西北、朝東北、朝東南,RC構造+ Alfa Safe柱中柱+重點樓層Alfa Safe系統牆，廚具：林內，衛浴：TOTO,"['接待大廳', '空中花園']",,A9林口站,
28871,台北新都,,,新北市林口區仁愛路二段233號,,地上14層,,住宅大樓,,"一房(18.47~31.81坪),二房(31.81~63.98坪),三房(9.27~78.43坪),四房(5.08~90.95坪),五房(51.64~79.91坪)",住家用,,0,,11~13%,,,,35元/戶/月,RC造,住宅區,,朝北、朝西、朝東、朝西北、朝東北、朝東南,,"['中庭花園', '交誼廳', '會議室', '閱覽室', '健身房', '桌球室', 'KTV', '信箱區', '兒童遊戲區']",,,
26269,富堡晶悅,,,新北市林口區文化二路一段68巷26號,28,"地上15層,地下2層",,住宅大樓,,"三房(53.26~53.32坪),四房(72.16~83.15坪)",見其他登記事項,,0,59.85%,32~33%,,,,80元/戶/月,RC造,第五種住宅區,,朝東北、朝西北、朝南,,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '健身房', '曬被區', '信箱區']",,,
11492,杜拜棕櫚泉,,,新北市林口區中山路235號,,地上14層,,住宅大樓,,"一房(49.23坪),二房(26.79~100.59坪),三房(26.79~84.12坪),四房(29.78~75.22坪)",見其他登記事項,,"5,571坪",24.23%,31~32%,,,,3875元/戶/月,RC造,住宅區,,朝北、朝南、朝西、朝東、朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '會議室', '閱覽室', '視聽室', '游泳池', '健身房', 'SPA', 'KTV', '廚藝教室']",,,
11527,心原宿,,,新北市林口區中北三街198~206號,35,"地上11層,地下2層",,住宅大樓,,"二房(30坪),2+1房(35坪)",住商用,,319坪,40.6%,31.8%,1:1.09,,,65元/坪/月,RC造,第二種住宅區,,朝北、朝西、朝東北,"中央集塵系統.五合一暖風機.鑄鋁防爆門含(CISA鎖).影視對講機
乾濕分離(淋浴拉門),三面採光!錦弘氣密隔音窗,
LOW-E玻璃調節室內外氣溫,隔絕紫外線","['接待大廳', '中庭花園', '會議室', '健身房', '瑜伽教室', '信箱區', '曬被區']",,A9捷運站約3公里,
5933715,凱旋世界,,,新北市林口區文化二路一段68巷10號,132,地上10層,,華廈,,,住商用,,0,,43.88%,,,,2162元/戶/月,RC造、其他,,,朝西、朝北、朝東北,,,,,
102507,氧樂多,,,新北市林口區忠福路&南勢一街交叉口,235,"地上7層,地下2層",,華廈,,"一房(17坪),二房(27坪),三房(37~42坪),2+1房(30坪)",住商用,,"1,970坪",43.83%,32%,1:1.07,,,65元/坪/月,RC造,第二種住宅區,,朝西北、朝西南、朝東北、朝東南,RC鋼筋混凝土，廚房：林內三機，衛浴：和成，地磚：冠軍，五金：BACHOR龍頭。,"['接待大廳', '交誼廳', '健身房', '親子遊戲區', '瑜伽教室', 'Lounge Bar', '毛小孩公園']",,A9林口站,
35363,台北麗都B區,,,新北市林口區文化二路一段120巷1號,,地上12層,,住宅大樓,,"二房(22.71~35.46坪),三房(22.71~52.26坪)",住家用,,0,,23.97%,,,,2434元/戶/月,RC造,住宅區,,朝東南、朝西南、朝西北,,,,,
26048,巴黎愛樂,,,新北市林口區文化三路一段447巷29號,79,地上13層,,住宅大樓,,"二房(27.81~37.11坪),三房(36.23~65.97坪),四房(47.12~53.48坪)",住家用,,0,39.92%,31.86%,,,,3795元/戶/月,RC造,住宅區,,朝西南,,,,,
26060,羅芙宮,,,新北市林口區文化三路一段377號,155,地上12層,,住宅大樓,,"二房(39.11~44.81坪),三房(27.01~72.56坪),四房(45.03~72.03坪),五房(60.16坪)",住家用,,0,45.12%,28~35%,,,,60元/戶/月,RC造,住宅區,,朝西北、朝東南,,"['接待大廳', '中庭花園', '交誼廳', '會議室', '閱覽室', '視聽室', '健身房', 'KTV', '信箱區', '曬被區']",,,
26386,世紀長虹,,,新北市林口區忠孝三路,194,"地上28層,地下4層",,住宅大樓,,"二房(49.99坪),三房(62.05~118.82坪),四房(62.45~170.1坪)",住家用,,"2,008坪",60%,33~33.8%,1:2.32,,,100元/坪/月,RC造,第五種住宅區,,朝北、朝南、朝西、朝東、朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '閱覽室', '游泳池', '健身房', '桌球室', '親子遊戲區', 'KTV', '瑜伽教室', '廚藝教室', '信箱區', 'Lounge Bar']",,,
104748,太子苑,,,新北市林口區民族路98-136號,191,"地上23層,地下4層",,住宅大樓,,店面(35~89坪),住商用,,931坪,25.19%,33.9%,1:1.03,,,85元/坪/月,RC造,第五種住宅區,,朝西北、朝東南,"●玄關門：鑄鋁板鋼木門 + 義大利CISA鎖
●衛浴：德國品牌INNOCI，主衛附免治馬桶便座
●廚具：豪山牌 (抽油煙機、IH爐、烘碗機) 
●排水排氣系統：全區單層排氣，瑞典Durgo吸氣閥
●地磚：冠軍拋光石英磚、德國KRONOTEX木地板

","['接待大廳', '交誼廳', '健身房', '廚藝教室', '圖書館', '棋藝室', '景觀花園']",,A9林口站,
26024,法國小鎮香頌區,,,新北市林口區東湖路2號,80,地上7層,,華廈,,"二房(53.41坪),三房(44.13~73.08坪),四房(44.13~56.63坪),五房(83.63~97.96坪)",住家用,,"2,385坪",40.76%,10~20%,,,,50元/戶/月,RC造,住宅區,,朝東,,['無公設'],,,
5903778,侘極,,,新北市林口區民族路82巷巷口,113,"地上15層,地下4層",預售屋,住宅大樓,,"一房(15.49坪),二房(22.68~30.03坪),三房(35.95坪)",住商用,,422坪,47.31%,34.5%,1:0.75,,,無管理費,RC造,第五種住宅區,,朝西北、朝東南,廚具：德國Noblessa、林內三機，衛浴：瑞士AXENT智能馬桶，五金：GROHE，其他：SPC石塑地板、日本不二氣密窗、PHILIPS五合一電子鎖、數位監控。,"['接待大廳', '交誼廳', '閱覽室', '瑜伽教室']",,機捷A9林口站,
11450,九揚香登大廈,,,新北市林口區文化三路一段607號,49,地上13層,,住宅大樓,,"三房(24.33~93.88坪),四房(61.22~71.24坪)",見其他登記事項,,0,43.17%,28.32%,,,,5778元/戶/月,RC造,住宅區,,朝東北、朝西南,,,,,
26094,鉑晶,,,新北市林口區文化三路二段211巷71號,,地上12層,,住宅大樓,,"一房(26.18坪),二房(25.51~42.5坪),三房(29.98~69.3坪),四房(41.83~52.38坪)",住家用,,0,53.11%,32.67%,,,,3087元/戶/月,RC造,住宅區,,朝西北、朝東北、朝東南,,,,,
35207,藝樹家,,,新北市林口區文化北路一段412巷5、7號,100,"地上14層,地下2層",,住宅大樓,,三房(45~46坪),住商用,,918坪,33.25%,32.8%,1:0.93,,,60元/坪/月,RC造,第二種住宅區,,朝南,依現場為主,"['接待大廳', '中庭花園', '閱覽室', '健身房', '信箱區', '曬被區']",,A9林口站,
26157,塞維亞,,,新北市林口區東明二街101號,18,地上3層,,透天,,"四房(91.09~94.56坪),五房(96.23~114.68坪)",住家用,,947坪,37.24%,30.59%,,,,3106元/戶/月,RC造、其他,住宅區,,朝東、朝東南,,,,,
43188,快樂莊園,,,新北市林口區南勢一街47巷1-27號,81,"地上7層,地下2層",,華廈,,"二房(26坪),三房(34~42坪)",住家用,,847坪,48.33%,31~32%,1:1.25,,,60元/坪/月,RC造,第二種住宅區,,朝西北、朝西南、朝東北、朝東南,RC鋼筋混凝土、櫻花廚具、HCG衛浴、60*60地磚。,"['接待大廳', '中庭花園', '交誼廳', '會議室', '閱覽室', '健身房', '桌球室', '親子遊戲區', 'KTV', '瑜伽教室', '廚藝教室', '信箱區']",,林口A9站,
102084,玄泰寶格麗,,,新北市林口區文化二路二段、四維路,47,"地上17層,地下3層",,住宅大樓,,"二房(35坪),三房(41~46坪),四房(49坪)",住商用,,303坪,47.47%,32%,1:1.02,,,70元/坪/月,RC造,第五種住宅區,,朝東北,玄關門：採用玹琴防火門搭配PAPAGO電子智能門鎖，展現氣派奢華品味。 臥室:鋪設冠軍60cm60cm拋光石英磚或75cm15cm高級木紋磚。 主臥:衛浴採美標分離式馬桶附美標免治馬桶座；公用衛浴採美標分離式馬桶。 廚俱設備:廚具採櫻花瓦斯爐、櫻花抽油煙機、櫻花吊掛式烘碗機。,"['接待大廳', '空中花園', '會議室', '信箱區', '曬被區']",,A9捷運林口站,
11520,11號公園,,,新北市林口區文化北路一段542巷72號,56,"地上10層,地下2層",,華廈,,"一房(27.32坪),二房(26.29~38.59坪),三房(32.95~54.15坪)",見其他登記事項,,0,36.87%,31.11%,,,,3391元/戶/月,RC造,第二種住宅區,,朝西南、朝西北,,,,,
26088,赫世堡哈佛區,,,新北市林口區源泉街152號,20,地上7層,,華廈,,"三房(37.73~65.42坪),四房(65.39坪),五房(76.48坪)",住家用,,0,42.71%,15.28%,,,,2190元/戶/月,RC造,住宅區,,朝東北、朝西北,,,,,
5880713,時尚ONE,,,新北市林口區文化北路一段299巷,21,地上8層,,華廈,,開放格局(15.98、16.15坪),住家用,,142坪,49.97%,32.66~32.7%,1:0.33,,,無管理費,RC造,第二種住宅區,,朝西北、朝西南、朝東南,凱撒衛浴,['信箱區'],,林口站,
35292,九揚華冠,,,新北市林口區忠孝路272號,111,"地上15層,地下3層",,住宅大樓,,"二房(27.04~42.58坪),三房(40.39~50.93坪)",見其他登記事項,,508坪,59.61%,30.00%,,,,3459元/戶/月,RC造,商業區,,朝西南,,,,,
50597,炎洲極品,,,新北市林口區文化三路二段52號,168,"地上29層,地下4層",,住宅大樓,,四房(96坪),住商用,,"1,196坪",42.29%,32.9%,1:1.74,,,85元/坪/月,RC造,中心商業區,,朝西北,氣派子母式玄關鋼木門+CISA門鎖、YKK氣密隔音鋁門+low-e玻璃、80*80拋光石英磚、LEICHT廚具、人造石檯面、林內-倒T型抽油煙機、林內-玻璃三口瓦斯盧、BlueSky全嵌式烘碗機、義大利BEST嵌入式烤箱、衛浴採KOHLER面盆、免治馬桶、石材檯面、Hansgrose龍頭、蓮蓬頭、面盆、淋浴之五金、TOTO多功能冷暖風機、大金空調室外機、全熱交換機。,"['接待大廳', '中庭花園', '交誼廳', '閱覽室', '游泳池', 'KTV', 'Lounge Bar', '宴會廳', '櫻花大道']",,A9林口站,
35219,昕樂章B棟,,,新北市林口區仁愛二路58號,180,"地上29層,地下4層",,住宅大樓,,三房(44.91~60.78坪),見其他登記事項,,855坪,43.47%,32.00%,,,,3200元/戶/月,RC造,中心商業區,,朝東南、朝西北、朝東北,,,,,
28925,英倫情人,,,新北市林口區公園路15號,102,地上12層,,住宅大樓,,"二房(28.65~29.33坪),三房(28.65~45.58坪),四房(26.02~60.71坪),五房(54.24坪)",住家用,,756坪,55.96%,,,,,2130元/戶/月,RC造,住宅區,,朝東北,,,,,
5936426,築禾忠孝苑,,,新北市林口區忠孝路126號旁,211,"地上18層,地下5層",預售屋,住宅大樓,,"二房(23~28坪),三房(34坪)",住商用,,820坪,37.19%,32.99~32.99%,1:0.98,,,70元/坪/月,RC造,第五種住宅區,,朝西南、朝東北,廚具：Panasonic，衛浴：TOTO，五金：TOTO,"['接待大廳', '中庭花園', '交誼廳', 'Lounge Bar']",,A9林口站,
5936206,築禾琢立,,,新北市林口區過崙街111號,67,"地上7層,地下3層",預售屋,住宅大樓,,"二房(20~28坪),三房(36坪)",住商用,,502坪,42.47%,33.06%,1:0.97,,,無管理費,RC造,第二種住宅區,,朝北,廚具:大雅櫃體、林內三機，衛浴:TOTO，其他:拜鐵膜、頂樓防水,"['接待大廳', '中庭花園', '交誼廳', '健身房', '信箱區', '兒童遊戲區']",,機捷林口站,
26164,四季悅,,,新北市林口區文化三路二段211巷69號,,地上15層,,住宅大樓,,"一房(19.25~33.14坪),二房(18.77~51.76坪),三房(23.95~66.38坪),四房(33.75~70.81坪)",見其他登記事項,,0,38.46%,30~32%,,,,70元/戶/月,RC造,住宅區,,朝西南、朝東南,,"['接待大廳', '中庭花園', '交誼廳', '會議室', '閱覽室', '健身房', '桌球室', '親子遊戲區', '俱樂部', '瑜伽教室', '曬被區', '兒童遊戲區']",,,
100619,昕樂章,,,新北市林口區文化三路一段470號,228,"地上29層,地下4層",,住宅大樓,,"三房(39~61坪),店面(22.94~43.4坪)",住商用,,"1,088坪",64.77%,31~33%,1:1.24,,,80元/坪/月,RC造,中心商業區,,朝東南,鋼筋混凝土構造,"['接待大廳', '游泳池']",,機場捷運線A9站,
35061,長虹天際,,,新北市林口區文化三路二段292號,288,"地上36層,地下4層",,住宅大樓,,店面(86坪),住商用,,"1,870坪",36.5%,30%,1:1.24,,,60元/坪/月,SRC造,中心商業區,,朝西北、朝西南、朝東北、朝東南,依現場為主,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '會議室', '閱覽室', '視聽室', '游泳池', '健身房', '桌球室', 'SPA', '俱樂部', '瑜伽教室', '廚藝教室', '信箱區']",,機場捷運林口站,
5925170,頤昌松琚,,,新北市林口區中山路＆民生路,78,"地上15層,地下2層",預售屋,住宅大樓,,"二房(27坪),三房(37坪),四房(45坪)",住商用,,744坪,39.31%,31.1~31.1%,1:1.01,,,95元/坪/月,RC造,第二種住宅區,,朝西南、朝東北、朝東南,"RC構造+ Alfa Safe柱中柱+重點樓層Alfa Safe系統牆
","['接待大廳', '空中花園', '健身房', '親子遊戲區', '信箱區']",,暫無,
35239,囍洋洋,,,新北市林口區南勢一街17號,126,"地上7層,地下2層",,住宅大樓,,"一房(17坪),二房(26~31坪),三房(38~42坪)",住商用,,"1,196坪",42.71%,31~32%,1:0.99,,,80元/坪/月,RC造,第二種住宅區,,朝西北、朝西南、朝東北、朝東南,依現場為主,"['接待大廳', '中庭花園', '閱覽室', '健身房', '親子遊戲區', '運動吧']",,A9林口站,
26184,幸福市,,,新北市林口區文化三路二段302號,,"地上19層,地下4層",,住宅大樓,,"一房(20.05~82.2坪),二房(17.12~49.14坪),三房(19.79~57.17坪),四房(47.95~57.17坪)",住家用,,"4,173坪",50.98%,28~29%,,,,45元/戶/月,RC造,商業區,,朝北、朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '交誼廳', '閱覽室', '健身房', 'KTV', '信箱區', '兒童遊戲區']",,,
33870,國家一號院,,,新北市林口區文化三路二段360號1樓,390,"地上29層,地下4層",,住宅大樓,,"一房(83.8坪),三房(82.28~106.65坪),四房(82.28~130.36坪),五房(106.24坪)",住家用,,"7,250坪",36.89%,30%,1:2.18,,,70元/坪/月,SRC造,中心商業區,,朝北、朝西北、朝西南,"鋼骨鋼筋混凝土構造,鋼筋混凝土構造","['接待大廳', '中庭花園', '空中花園', '交誼廳', '會議室', '閱覽室', '視聽室', '游泳池', '健身房', '桌球室', 'SPA', 'KTV', '信箱區', '曬被區', 'Lounge Bar', '籃球場', '棋藝室', '琴房', '撞球室', '遊戲區']",,中山高速公路,
34281,佳穎Hometel,,,新北市林口區文化三路一段617巷126號,86,"地上15層,地下3層",,住宅大樓,,"一房(18.49~29.77坪),二房(22.95~37.89坪),三房(30.27坪)",見其他登記事項,,308坪,51.55%,33.30%,,,,3106元/戶/月,RC造,第五種住宅區,,朝西南、朝東北、朝東南,,,,,
26108,活力城,,,新北市林口區中山路562號,,地上15層,,住宅大樓,,"一房(16.19~46.69坪),二房(18.98~58.98坪),三房(28.15~66.37坪),四房(39.02~69.28坪)",住家用,,0,50.98%,27~29%,,,,45元/戶/月,RC造,商業區,,朝西、朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '交誼廳', '會議室', '閱覽室', '視聽室', '游泳池', '健身房', '親子遊戲區', 'SPA', 'KTV', '俱樂部', '信箱區', '曬被區', '兒童遊戲區']",,,
29015,遠雄未來市,,,新北市林口區文化二路一段557號,,地上19層,,住宅大樓,,"一房(17~17.01坪),二房(21.51~63.78坪),三房(4.45~88.94坪),四房(50.97~89坪)",住家用,,0,51.68%,30~33%,,,,65元/戶/月,RC造,商業區,,朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '交誼廳', '會議室', '閱覽室', '視聽室', '游泳池', '健身房', '桌球室', '親子遊戲區', 'SPA', 'KTV', '俱樂部', '信箱區', '曬被區', '兒童遊戲區']",,,
35424,龍揚天廈,,,新北市林口區文化二路一段58號,,地上16層,,住宅大樓,,"一房(8.06~33.08坪),二房(20~41.13坪),三房(29.86~56.96坪),四房(45.38~57.21坪)",住家用,,0,,16.51%,,,,1870元/戶/月,RC造,住宅區,,朝西北、朝東北,,,,,
101936,玄泰PTW(日光區),,,新北市林口區力行段211地號,158,"地上24層,地下4層",,住宅大樓,,"三房(42坪),四房(52.51坪),店面(55.96、65坪)",住商用,,598坪,52.66%,29.73%,1:0.94,,,70元/坪/月,RC造,中心商業區,,朝西北、朝東南,RC鋼筋混凝土。,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '會議室', '閱覽室', '視聽室', '健身房', '親子遊戲區', '信箱區', '曬被區']",,A9林口站,
34448,宏錦 W one,,,新北市林口區民族路268號,200,"地上26層,地下3層",,住宅大樓,,"一房(27.18坪),二房(26.86~40.61坪),三房(27.18~57.82坪),四房(47.89~66.99坪)",住家用,,"1,060坪",35%,33~34%,1:1,,,75元/坪/月,RC造,第五種住宅區,,朝西北、朝東南,長庚生技活水、愛惠浦濾水器、林內瓦斯爐及抽油煙機、TOTO電腦馬桶、德國Hansgrohe 龍頭...等頂級建材,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '閱覽室', '健身房', 'KTV', '廚藝教室', '信箱區']",,機場捷運A9站,
11508,峰朗,,,新北市林口區仁愛路一段285巷41號,31,地上3層,,透天,,"三房(121.46~138.93坪),四房(103.62~151.69坪),五房(105.18~137.37坪)",見其他登記事項,,"1,389坪",40.37%,37.17%,,,,4677.5元/戶/月,RC造、其他,住宅區,,朝西、朝東、朝北、朝東南,,,,,
3676512,星悦大隱,,,新北市林口區麗林段316.324地號,87,"地上10層,地下2層",,住宅大樓,,"二房(26.17~28.55坪),三房(28.88~36.47坪)",住商用,,774坪,39.14%,32.5%,1:0.92,,,2340元/坪/月,RC造,第二種住宅區,,朝北、朝南、朝西,"玄關門：採用玹琴防火門搭配PAPAGO電子智能門鎖，展現氣派奢華品味。

臥室:鋪設冠軍60cm60cm拋光石英磚或75cm15cm高級木紋磚。

主臥:衛浴採美標分離式馬桶附美標免治馬桶座；公用衛浴採美標分離式馬桶。

廚俱設備:廚具採喜特麗雙口瓦斯爐、喜特麗抽油煙機、喜特麗吊掛式烘碗機；與杜拜帆船飯店同品牌。
","['接待大廳', '中庭花園', '空中花園', '交誼廳', '會議室', '閱覽室', '視聽室', '健身房', 'KTV', '廚藝教室', '信箱區', 'Lounge Bar']",,捷運林口A9站,
11461,圓方大千苑,,,新北市林口區文化三路一段105號,99,地上21層,,住宅大樓,,"二房(77.14~83.01坪),三房(81.8~133.71坪),四房(83.05~135.33坪)",見其他登記事項,,0,50.00%,29~30%,,,,85元/戶/月,RC造,住宅區,,朝東北、朝西北、朝南、朝西南、朝東南,,"['閱覽室', '會議室', '健身房', '交誼廳', '瑜伽教室', '信箱區', '兒童遊戲區', '接待大廳', '中庭花園', '桌球室']",,,
34135,森聯美麗莊園,,,新北市林口區南勢三街19號,217,"地上8層,地下3層",,住宅大樓,,"三房(42坪),四房(50坪)",住家用,,"2,099坪",45.1%,31%,1:1.44,,,55元/坪/月,RC造,第二種住宅區,,朝東南,櫻花廚具、和成衛浴、電動曬衣架,"['接待大廳', '中庭花園', '交誼廳', '健身房', '桌球室', '親子遊戲區', '瑜伽教室']",,國道一號林口交流道,
29005,亞昕101,,,新北市林口區文化二路一段283號,,"地上14層,地下2層",,住宅大樓,,"一房(11.37~31.08坪),二房(0.34~38.93坪),三房(18.2~44.27坪),四房(30.43~44.27坪)",住家用,,0,,26~26.5%,,,,55元/戶/月,RC造,商業區,,朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '閱覽室', '健身房', '桌球室', 'KTV', '曬被區', '兒童遊戲區']",,,
103106,三發嵐海,,,新北市林口區中華路511號,173,"地上14層,地下2層",,住宅大樓,,"1+1房(18坪),2+1房(26坪)",住商用,,"1,130坪",28.28%,34%,1:0.93,,,85元/坪/月,RC造,第二種住宅區,,朝東北,TOTO衛浴、林內廚具、Blum五金,"['接待大廳', '中庭花園', '空中花園']",,桃園捷運A9林口站,
26409,晴空樹,,,新北市林口區文化二路一段309巷,295,"地上33層,地下4層",,住宅大樓,,"一房(31.2~54.08坪),二房(43.49~43.6坪),三房(43.23~168.28坪),四房(66.57~118.79坪)",住家用,,"2,800坪",,32%,,,,待定,SC造、SRC造,第五種住宅區,,,,,,,
26003,人見仁愛,,,新北市林口區民權路8號,180,地上12層,,住宅大樓,,"一房(44.29坪),二房(24.77~34.2坪),三房(32.02~52.5坪),四房(42.99~63.17坪)",住家用,,0,47.57%,25.00%,,,,1610元/戶/月,RC造,住宅區,,朝西南、朝東南,,,,,
40378,亞昕昕聯心,,,新北市林口區仁愛二路,312,"地上30層,地下4層",,住宅大樓,,"三房(42坪),2+1房(27坪),3+1房(45坪)",住商用,,935坪,39.52%,32.43%,1:0.86,,,80元/坪/月,RC造,中心商業區,,朝西北、朝西南、朝東北、朝東南,依現場為主,"['接待大廳', '中庭花園', '交誼廳', '閱覽室', '健身房', '親子遊戲區', '瑜伽教室', '廚藝教室', '信箱區']",,A9林口站,
26405,九揚華峰,,,新北市林口區文化三路一段617巷51號,158,"地上15層,地下3層",,住宅大樓,,"一房(29.28~59.45坪),二房(28.84~71.65坪),三房(32.77~60.34坪),四房(60.84坪)",見其他登記事項,,0,49.7%,30~31%,,,,70元/戶/月,RC造,第五種住宅區,,朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '會議室', '健身房', '親子遊戲區', '瑜伽教室']",,,
26122,一品馥麗,,,新北市林口區文化三路一段555巷91號,80,地上12層,,住宅大樓,,"二房(30.19~42.51坪),三房(40.54~69.23坪),四房(49.93~59.71坪)",住家用,,0,46.85%,31.76%,,,,3364元/戶/月,RC造,住宅區,,朝東北、朝西南,,,,,
34234,世界市-世界館,,,新北市林口區文林街75巷61~81號,106,"地上10層,地下3層",,住宅大樓,,"一房(19.68坪),二房(26~27坪)",住商用,,823坪,34.84%,31.41~32.38%,1:1.17,,,2385元/坪/月,RC造,第二種住宅區,,朝西北、朝西南、朝東北、朝東南,待定,['接待大廳'],,A9林口站,
29086,亞昕星空樹,,,新北市林口區三民路18號,188,"地上26層,地下3層",,住宅大樓,,"四房(59.14~125.62坪),開放格局(108坪),店面(28.49~76.62坪)",住商用,,"1,233坪",44.67%,33.1~33.3%,1:1.13,,,80元/坪/月,RC造,第五種住宅區,,朝西、朝東,依現場為主,"['接待大廳', '交誼廳', '會議室', '健身房', '信箱區']",,A9林口站,
11452,遠雄未來之光,,,新北市林口區文化三路二段36號,,地上19層,,住宅大樓,,"一房(43.55坪),二房(43.55~87.41坪),三房(50.03~129.58坪),四房(52.93~115.82坪),五房(70.11~92.61坪)",見其他登記事項,,0,52.68%,30~35%,,,,90元/戶/月,RC造,商業區,,朝東、朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '交誼廳', '會議室', '閱覽室', '視聽室', '游泳池', '健身房', '桌球室', 'SPA', 'KTV', '俱樂部', '瑜伽教室', '兒童遊戲區']",,,
5873087,遇見,,,新北市林口區文化三路二段41巷,116,"地上15層,地下4層",預售屋,住宅大樓,,"二房(27~30坪),三房(40~42坪)",住商用,,695坪,47.59%,34~34%,1:1.01,,,無管理費,RC造,第五種住宅區,,朝西北、朝東北、朝東南,漢斯廚具、TOTOT衛浴,['接待大廳'],,機捷林口站,
26411,萬事OK,,,新北市林口區民有街88號,155,"地上21層,地下4層",,住宅大樓,,"一房(17.77~21.04坪),二房(28.1~38.47坪),三房(38.47~42.19坪)",住商用,,438坪,69.99%,32%,1:0.73,,,70元/坪/月,RC造,中心商業區,,朝北、朝南、朝西、朝東、朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '交誼廳', '會議室', '閱覽室', '健身房', '琴藝式']",,A9林口站,
5857717,愛家滙,,,新北市林口區忠孝一路,84,"地上13層,地下2層",,住宅大樓,,"三房(32~35坪),1+1房(17.5坪),2+1房(24.5坪)",住商用,,699坪,39.06%,33%,1:0.92,,,90元/坪/月,RC造,第二種住宅區,,朝北、朝南,依現場為主,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '瑜伽教室', '信箱區']",,A9林口站,
33432,玄泰文華,,,新北市林口區忠孝路292~306號,118,"地上24層,地下4層",,住宅大樓,,"一房(20坪),二房(23坪),三房(46坪)",住商用,,334坪,59.79%,32%,1:0.76,,,80元/坪/月,RC造,中心商業區,,朝東南,林內廚具、TOTO衛浴,"['接待大廳', '空中花園']",,A9林口站,
35356,力璞之星,,,新北市林口區文明街138巷2號,129,"地上15層,地下3層",,住宅大樓,,"二房(22.33~28.66坪),三房(41.21~41.78坪)",住家用,,"1,013坪",26.08%,30~33%,1:0.96,,,85元/坪/月,RC造,第二種住宅區,,朝東北、朝西南,林內廚具三機，INAX衛浴馬桶、洗臉盆,"['接待大廳', '中庭花園', '信箱區', '閱覽室']",,機場捷運A9站,
28947,菁英賞,,,新北市林口區公園路187號,115,地上10層,,華廈,,"一房(24.53坪),二房(24.53~41.41坪),三房(30.47~51.81坪),四房(30.47~60.87坪)",住家用,,0,59.84%,26.95%,,,,2242元/戶/月,RC造,住宅區,,朝東南,,,,,
26410,詠勝-大來賞,,,新北市林口區公園路11號,69,"地上21層,地下3層",,住宅大樓,,"二房(29.72~42.16坪),三房(38.06~55.43坪)",住商用,,385坪,51.37%,31.5%,1:1.12,,,60元/坪/月,RC造,第五種住宅區,,朝東,喜特麗廚具、TOTO衛浴,"['接待大廳', '中庭花園', '空中花園', '健身房', '信箱區']",,機場捷運A9站,
11518,峰閣,,,新北市林口區三民路128號,53,"地上13層,地下3層",,住宅大樓,,"二房(21.87~40.32坪),三房(29.65~46.9坪),四房(38.1~46.9坪)",見其他登記事項,,309坪,43.2%,30.09%,,,,3194元/戶/月,RC造,第五種住宅區,,朝東北、朝南、朝東南,,,,,
5903063,森聯上上謙-森越,,,新北市林口區力行段437地號(頭湖國小旁),226,"地上24層,地下3層",預售屋,住宅大樓,,"二房(19~24.48坪),三房(27.55~39.18坪),店面(23~32坪)",住商用,,"1,016坪",44.01%,34%,1:0.85,,,無管理費,RC造,鄰里中心商業區,,朝西北、朝西南、朝東北、朝東南,廚具：櫻花三機、微烤爐，衛浴：TOTO、德國Hansgrohe淋浴設備，其他：昭和氣密窗、飛利浦電子鎖、國際牌暖風機、綠能防潮石膏磚。,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '會議室']",,A9林口站,
28963,凡爾賽花園,,,新北市林口區文化二路二段88巷36號,297,地上13層,,住宅大樓,,"一房(21.33~28坪),二房(20.1~39.01坪),三房(26.85~54.88坪),四房(30.76~53.95坪)",住家用,,0,44.90%,26~26.09%,,,,45元/戶/月,RC造,住宅區,,朝西南、朝東北、朝西、朝東南,,"['接待大廳', '中庭花園', '交誼廳', '閱覽室', '視聽室', '游泳池', '健身房', 'KTV', '信箱區', '兒童遊戲區']",,,
